azienda,ruolo,sede,canale,data_candidatura,stato,azienda_ha_risposto,esito,data_ultimo_aggiornamento,note
Bending Spoons,Graduate AI software engineer,,ATS Bending Spoons,2026-08-17,Screening / task,si,Invito a completare dei task dopo lo screening,2026-08-18,Superata la fase di screening; attesa completamento task
ION Group,AI Engineer - Graduate Development Program,,Lever,2026-08-17,Ricevuta / in revisione,si,Conferma di ricezione; in attesa di esito,2026-08-17,Nessun esito successivo alla conferma
Homey,Junior Software Engineer (AI-Native),,LinkedIn / Workable,2026-08-07,Ricevuta / in revisione,si,Conferma: revisione nei prossimi giorni,2026-08-07,Candidatura confermata anche da LinkedIn
Giga,Software Engineer I / II - New York,New York,ATS Giga,2026-08-05,Ricevuta / in revisione,si,Conferma di ricezione; in attesa di esito,2026-08-05,
Jobgether,Remote Machine Learning Engineer,Switzerland / Remote,LinkedIn / Jobgether,2026-08-04,Ricevuta / in revisione,si,Follow-up con match score; esito non confermato,2026-08-05,LinkedIn indica Machine Learning Engineer (Switzerland); Jobgether parla di ruolo remote. Lo score non e' un rifiuto ne' un'approvazione
revel8,(Junior) Software Engineer,,Personio,2026-08-04,Ricevuta / in revisione,si,Conferma di ricezione; in attesa di esito,2026-08-04,
Adverity,Junior Python Engineer (f/m/d),,LinkedIn / Workable,2026-08-04,Ricevuta / in revisione,si,Conferma di ricezione; in attesa di esito,2026-08-04,
Confido,Software Engineer,,Ashby,2026-08-03,Ricevuta / in revisione,si,Conferma: ricontatteranno solo se ci sono next steps,2026-08-03,
Meltwater,AI Engineer (France),France,Jobvite,2026-08-03,Ricevuta / in revisione,si,Conferma di ricezione; in attesa di esito,2026-08-03,
Mintel,"Agentic AI Engineer, AI Automation",,ATS Mintel,2026-08-03,Ricevuta / in revisione,si,Conferma di ricezione; in attesa di esito,2026-08-03,
Open Systems Technologies,Job #22-06263,,ATS azienda,2026-08-03,Ricevuta / in revisione,si,Conferma automatica CV ricevuto,2026-08-03,Titolo del ruolo non specificato nella mail
Deliveroo,"Software Engineer, New Grad",,Ashby,2026-08-02,Ricevuta / in revisione,si,Conferma di ricezione; in attesa di esito,2026-08-02,Ashby non specifica il titolo; inferito da reminder LinkedIn del 3 agosto
FoodOp,Junior Backend Developer,,The Hub,2026-08-04,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-04,Solo conferma The Hub: alcune startup rispondono solo se vogliono un colloquio
Waving,Junior Backend Engineer,,LinkedIn,2026-08-04,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-07,Solo conferme LinkedIn
nineDots.io,Junior Full Stack Engineer,,LinkedIn,2026-08-04,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-07,Solo conferme LinkedIn
Apex.AI,Software Engineer - Software Platform & Middleware (Early Career),Munich,LinkedIn,2026-08-04,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-04,
BRS Shipbrokers,Junior Software Engineer (M/F),Athens,LinkedIn,2026-08-04,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-04,
Aplo,Quantitative Developer (Crypto prime broker),,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-07,Solo conferme LinkedIn
Impala Search,AI Product Engineer,,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-06,Solo conferme LinkedIn
rmg digital,Back End Developer,,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-06,Solo conferme LinkedIn
Ncounter Technology Recruitment,Quantitative Developer,,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-06,Agenzia di recruiting; solo conferme LinkedIn
ThunderSoft,Data Engineer,Paris,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-03,
HCLTech,Python Developer,Paris,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-03,
Burns Sheehan,GTM Engineer,London,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-03,Agenzia di recruiting
Alpha Search Advisors,Software Engineer,New York,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-03,Annuncio Edge Search formerly Alpha Search Advisors
Hunter Bond,Data Pipeline Software Engineer (Python / C++),London,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-03,Agenzia di recruiting
Euphoric,Software Engineer (Applied AI),United Kingdom,LinkedIn,2026-08-03,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-03,
Oxford Knight,Junior C++ Quant Developer - Commodities - Global Hedge Fund,,eFinancialCareers,2026-08-03,Candidatura inviata,no,Conferma invio via eFinancialCareers,2026-08-03,Agenzia; nessuna risposta diretta dell'azienda
Saragossa,Python Developer,London,LinkedIn,2026-08-02,Candidatura inviata,no,Nessuna risposta dell'azienda,2026-08-02,Agenzia di recruiting
PATRIZIA,AI Engineer (m/f/d),,Workday,2026-08-03,Rifiutata,si,Non selezionato: altri candidati piu' allineati,2026-08-13,
Burt Intelligence,Software Engineer (Junior to Mid Level),,Teamtailor,2026-08-04,Rifiutata,si,Non selezionato dopo revisione della candidatura,2026-08-11,
Telnyx,"Junior Software Engineer, Elixir",,ATS Telnyx,2026-08-04,Rifiutata,si,Non procedono nel processo di intervista,2026-08-06,
Mistral,"Software Engineer, New Grad",,Ashby,2026-08-04,Rifiutata,si,Procedono con altri candidati,2026-08-05,
Sharegain,AI Software Engineer London,London,Teamtailor,2026-08-03,Rifiutata,si,Non procedono con la candidatura,2026-08-05,
PwC,Software Engineer Intern - MILANO [DIG],Milano,Workday,2024-11-06,Rifiutata,si,Non procedono con la candidatura,2026-02-06,Ciclo internship precedente; esito arrivato a febbraio 2026
